EntrezID	Gene	UNIPROT	common_p	Concentration	Ayuko_Ev_q
6727	SRP14	P37108	P	440	142917752
5899	RALB	P11234	P	440	67916628.5
51128	SAR1B	Q9Y6B6	P	430	66466321.5
5708	PSMD2	Q13200	P	430	121510832.5
501	ALDH7A1	P49419	P	430	118827981.9
6125	RPL5	P46777	P	430	331255523.5
274	BIN1	O00499	P	430	736541292.7
10082	GPC6	Q9Y625	P	420	58128259.06
2593	GAMT	Q14353	P	420	44260344
6135	RPL11	P62913	P	420	272509749.6
355	FAS	P25445	P	420	17416653.31
3191	HNRNPL	P14866	P	420	248438082.1
476	ATP1A1	P05023	P	420	478153399.7
10380	BPNT1	O95861	P	420	22063900.5
54187	NANS	Q9NR45	P	410	198505830.5
79624	ARMT1	Q9H993	P	410	73288630.83
11333	PDAP1	Q13442	P	410	3630313.563
708	C1QBP	Q07021	P	410	57681421.25
4837	NNMT	P40261	P	410	413788378.6
5213	PFKM	P08237	P	410	122606739.1
7514	XPO1	O14980	P	410	156887041.3
2885	GRB2	P62993	P	400	23835970.8
975	CD81	P60033	P	400	670171542.6
1398	CRK	P46108	P	400	83470652.65
4332	MNDA	P41218	P	400	86095045.33
654483	BOLA2B	Q9H3K6	P	390	74538283.17
552900	BOLA2	Q9H3K6	P	390	74538283.17
6455	SH3GL1	Q99961	P	390	58989415.26
55739	NAXD	Q8IW45	P	390	51014620.25
3093	UBE2K	P61086	P	390	11455886.13
6472	SHMT2	P34897	P	390	43480759.75
163	AP2B1	P63010	P	380	125226555.6
6059	ABCE1	P61221	P	380	86766497
5494	PPM1A	P35813	P	380	27408608
6129	RPL7	P18124	P	380	238653078.2
291	SLC25A4	P12235	P	380	58087903.02
5579	PRKCB	P05771	P	380	36975086.13
8417	STX7	O15400	P	380	39032966.25
64129	TINAGL1	Q9GZM7	P	370	70978756.1
90507	SCRN2	Q96FV2	P	370	56654033.08
10133	OPTN	Q96CV9	P	370	4488501.026
7318	UBA7	P41226	P	370	50903576.6
1991	ELANE	P08246	P	370	305036222.2
1410	CRYAB	P02511	P	370	156704600.2
9793	CKAP5	Q14008	P	360	29731830.59
1660	DHX9	Q08211	P	360	277764608.3
118	ADD1	P35611	P	360	29000551.88
5245	PHB	P35232	P	360	41762943.27
6389	SDHA	P31040	P	360	29888627.18
2058	EPRS1	P07814	P	360	218342573
51237	MZB1	Q8WU39	P	350	67194394
8802	SUCLG1	P53597	P	350	43168347.5
4351	MPI	P34949	P	350	32501315.75
23576	DDAH1	O94760	P	350	58328571.22
