"UNIPROT"	"Entrez"	"symbol"	"GBM_GTEX.Y8DK.0011.R10A.SM.HAKY1"	"GBM_GTEX.UTHO.0011.R10A.SM.HAKY2"	"GBM_GTEX.R55F.0011.R10A.SM.HAKXY"	"GBM_GTEX.QVJO.0011.R10A.SM.HAKXV"	"GBM_GTEX.P44H.0011.R10A.SM.HAKXX"	"GBM_GTEX.RU72.0011.R10A.SM.HAKXS"	"GBM_GTEX.RN5K.0011.R10A.SM.HAKXU"	"GBM_GTEX.WVLH.0011.R10A.SM.HAKXZ"	"GBM_GTEX.Q2AG.0011.R10A.SM.HAKXT"	"GBM_GTEX.NPJ7.0011.R10A.SM.HAKXW"
"Q9NVR2"	55174	"INTS10"	-1.02849500959041	-0.788036484790608	-0.528820643442817	-0.871641618776332	-0.207314054846717	-0.441886071634596	-0.365733199241949	-0.850031713676068	-0.106846373158832	-0.232758943160611
"Q9NVR5"	55172	"DNAAF2"	-1.18756645742317	-0.425523447570699	-0.629004289713002	-0.294911797899871	0.0633146956351827	0.141697097456891	0.0851601307546225	0.101866201535917	-0.232474507974193	0.187945087600736
"Q9NVS2"	55168	"MRPS18A"	0.351616567981513	0.479628040589605	0.459416328982849	0.100143535308703	0.222056351615482	-0.0412873797556764	0.0250972506653907	0.863945237743068	0.387967581114645	-0.035657089147095
"Q9NVS9"	55163	"PNPO"	0.238043182347191	0.574665235700556	0.490461362682941	0.189630446887527	0.341289099170815	0.321573262629922	0.723784254794043	0.508785571344982	0.212632383381627	0.607815646007678
"Q9NVT9"	55156	"ARMC1"	1.42934202978636	0.862502960058978	1.06333921515597	0.803071938611078	0.805674570530673	0.801718543711357	0.910750818767163	0.961402568405678	1.12532989796223	1.0651018375537
"Q9NVU0"	55718	"POLR3E"	0.0795324682046754	-0.325605081909059	0.0547035788041308	-0.0368427360822738	-0.123626555723563	-0.0818011177941323	0.107753935268392	-0.208193929266874	0.0169063707421102	0.319240616043878
"Q9NVU7"	55153	"SDAD1"	-1.16849752469547	-0.901497249322896	-0.336673454980131	-0.64947779847009	-0.541305826208672	-0.480542176727606	-0.455067924628999	-0.844261481311009	-0.189294724443939	-0.570590724931551
"Q9NVV0"	55151	"TMEM38B"	-2.22291081416118	-0.964997346615485	-0.170355954006295	-1.37967327295153	-0.508547900179477	-0.523980726577153	-1.07625701781952	NA	NA	NA
"Q9NVV4"	55149	"MTPAP"	0.482052753378309	0.499880609563277	0.118608471865298	0.078636182109784	0.341436490281052	0.285447771212133	0.191268576667375	0.38998571231315	0.512099751182354	0.322094127316216
"Q9NVV5"	51390	"AIG1"	-0.795586094413086	-1.16315973287008	-0.332654252562693	-0.722654817021642	-0.346825700335268	-0.502435332399241	-0.9153990527471	-0.249433317648402	-0.887050636161252	-0.77669185844854
"Q9NVW2"	51132	"RLIM"	-0.18213385527535	0.613675317225125	-0.005593064901902	0.342831628195616	0.070398176060797	0.0452423393961406	-0.673997536321453	0.0358815523117	0.103976700412558	0.124843128118735
"Q9NVX0"	55142	"HAUS2"	0.0418646041635317	-0.442418656350367	-0.855803415931055	-0.462411884465159	-0.161334529429172	-0.730377707483758	-0.987601309562017	-0.683668489030626	NA	-0.666692644342626
